Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
1102,2022-01-15,2398,3500,-7.8,-2.3,3,17.4
412,2022-01-16,1201,1613,-8.3,-3.2,75,30.3
643,2022-01-17,1940,2583,-3.2,2.4,73,29.7
922,2022-01-18,3206,4128,-5.1,0.1,3,23.6
1271,2022-01-19,3902,5173,-1.5,3.0,3,18.3
845,2022-01-20,2444,3289,-1.8,2.1,73,15.7
881,2022-01-21,2778,3659,-9.3,-3.8,3,16.6
1345,2022-01-22,2804,4149,-8.6,-3.8,3,12.6
1294,2022-01-23,2674,3968,-5.4,-1.0,2,10.3
1061,2022-01-24,3377,4438,-3.8,0.4,3,15.6
1208,2022-01-25,3768,4976,-1.6,2.5,3,15.1
1054,2022-01-26,3223,4277,-7.1,-2.0,1,13.4
1067,2022-01-27,3534,4601,-6.3,-2.0,3,10.2
776,2022-01-28,2806,3582,-3.6,0.1,73,13.8
743,2022-01-29,1978,2721,-10.6,-4.0,71,26.0
859,2022-01-30,2220,3079,-9.1,-4.1,2,19.6
871,2022-01-31,3397,4268,-6.0,-1.7,3,11.1
1146,2022-02-01,4028,5174,-4.5,-0.6,1,10.9
1439,2022-02-02,4368,5807,-0.4,2.5,3,11.7
768,2022-02-03,2449,3217,5.5,7.7,63,21.6
637,2022-02-04,1904,2541,4.3,7.6,63,27.5
1315,2022-02-05,3126,4441,-6.8,-1.1,3,24.0
1236,2022-02-06,2970,4206,-6.1,-1.8,3,10.2
768,2022-02-07,3238,4006,-1.4,1.6,55,7.4
1220,2022-02-08,4281,5501,-2.0,2.1,1,16.7
1565,2022-02-09,4805,6370,0.2,3.9,0,14.6
1936,2022-02-10,4800,6736,3.1,7.1,53,25.1
2706,2022-02-11,5168,7874,4.8,8.7,0,21.4
3869,2022-02-12,4791,8660,7.1,10.8,3,21.1
871,2022-02-13,2040,2911,-2.8,1.3,73,14.0
860,2022-02-14,3223,4083,-7.5,-2.4,3,16.3
1242,2022-02-15,3788,5030,-5.4,-1.2,0,12.0
1569,2022-02-16,4614,6183,-0.9,3.2,3,16.2
1998,2022-02-17,5301,7299,9.7,13.3,55,23.9
1580,2022-02-18,3880,5460,3.8,8.6,61,32.4
1886,2022-02-19,3170,5056,-4.5,1.0,3,31.9
1968,2022-02-20,2887,4855,-4.7,-0.0,0,15.8
3509,2022-02-21,4457,7966,2.9,6.6,1,14.7
1366,2022-02-22,3773,5139,10.7,12.9,61,27.9
2591,2022-02-23,5477,8068,13.3,15.9,51,23.6
761,2022-02-24,2669,3430,-1.5,2.7,51,15.7
1697,2022-02-25,3956,5653,0.9,4.9,61,26.9
2562,2022-02-26,3744,6306,-1.4,2.7,3,15.3
2704,2022-02-27,3861,6565,0.6,4.9,1,19.8
1480,2022-02-28,4300,5780,-0.2,3.9,1,12.8
1882,2022-03-01,5046,6928,2.5,6.1,3,14.7
2506,2022-03-02,5382,7888,6.1,8.9,2,16.2
2075,2022-03-03,4980,7055,3.7,8.0,3,19.1
2194,2022-03-04,4523,6717,-1.8,2.2,1,15.5
4619,2022-03-05,5073,9692,4.0,7.1,2,15.9
4606,2022-03-06,4734,9340,15.0,16.5,55,23.5
2251,2022-03-07,4399,6650,17.1,19.0,55,30.0
2434,2022-03-08,5164,7598,4.3,8.6,3,26.4
993,2022-03-09,2898,3891,2.4,5.3,73,13.3
2382,2022-03-10,5195,7577,3.3,6.2,3,10.4
3757,2022-03-11,5480,9237,5.6,8.3,1,16.8
626,2022-03-12,1493,2119,-3.3,2.0,75,29.6
1610,2022-03-13,2701,4311,-6.9,-1.7,1,21.4
3095,2022-03-14,4912,8007,1.8,5.4,1,12.2
4339,2022-03-15,6081,10420,8.8,11.4,2,12.1
4641,2022-03-16,6414,11055,10.1,12.3,1,15.3
1755,2022-03-17,3848,5603,10.1,11.3,61,11.7
5417,2022-03-18,6028,11445,13.6,14.7,3,18.8
8072,2022-03-19,5956,14028,15.7,17.4,51,25.3
4630,2022-03-20,4371,9001,7.5,11.9,3,26.7
4813,2022-03-21,6216,11029,8.7,12.4,2,20.7
5460,2022-03-22,7282,12742,8.9,11.4,3,12.0
1745,2022-03-23,4160,5905,7.8,10.6,61,18.9
2775,2022-03-24,4956,7731,14.7,14.8,63,16.7
6259,2022-03-25,6409,12668,9.3,12.0,51,18.8
6536,2022-03-26,4987,11523,4.1,8.6,53,23.4
