Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
1904,2021-11-25,2359,4263,2.6,5.8,3,9.5
1446,2021-11-26,2373,3819,0.9,5.8,61,29.1
1719,2021-11-27,2958,4677,-2.2,2.7,2,19.2
2193,2021-11-28,3866,6059,3.6,6.8,2,9.0
1288,2021-11-29,4458,5746,-0.4,4.4,3,23.3
1468,2021-11-30,5375,6843,0.1,3.7,3,13.5
1883,2021-12-01,5904,7787,2.9,6.1,51,12.0
2518,2021-12-02,6381,8899,8.6,11.7,51,20.7
2549,2021-12-03,5958,8507,5.6,9.1,1,15.8
4155,2021-12-04,5943,10098,5.2,8.0,2,10.7
2649,2021-12-05,4411,7060,2.5,6.0,3,11.0
1866,2021-12-06,5310,7176,9.2,12.2,55,29.8
1540,2021-12-07,5022,6562,-1.0,3.4,2,23.8
1572,2021-12-08,4681,6253,-0.6,2.9,73,15.8
1710,2021-12-09,4899,6609,-2.0,1.9,3,13.5
2649,2021-12-10,5454,8103,3.0,6.0,51,13.6
3256,2021-12-11,4624,7880,11.8,14.0,63,27.7
2556,2021-12-12,4258,6814,1.3,6.2,3,29.7
1754,2021-12-13,4556,6310,0.6,4.2,1,9.9
2079,2021-12-14,5294,7373,2.1,5.7,1,11.5
1979,2021-12-15,5146,7125,4.2,6.7,2,9.8
2571,2021-12-16,5553,8124,8.5,11.8,1,20.0
2481,2021-12-17,5308,7789,10.4,13.1,3,19.6
2717,2021-12-18,4030,6747,7.9,10.1,61,12.3
1769,2021-12-19,3001,4770,3.0,7.2,51,23.5
1360,2021-12-20,3316,4676,-3.0,0.9,0,12.2
1210,2021-12-21,3061,4271,-1.9,1.5,51,8.5
1293,2021-12-22,2958,4251,-0.7,3.6,51,24.6
1189,2021-12-23,2471,3660,-3.5,0.8,2,13.8
1310,2021-12-24,2006,3316,3.4,7.2,3,18.3
1876,2021-12-25,1308,3184,10.4,12.7,61,17.5
2436,2021-12-26,2070,4506,8.3,11.1,3,16.7
1189,2021-12-27,1933,3122,0.8,3.9,53,13.1
2387,2021-12-28,2605,4992,5.1,7.9,51,14.3
1974,2021-12-29,2497,4471,8.0,9.8,61,11.3
2074,2021-12-30,2651,4725,8.2,9.1,61,8.3
2743,2021-12-31,2944,5687,10.7,11.7,53,13.0
1788,2022-01-01,1664,3452,14.4,14.1,63,13.7
2389,2022-01-02,3030,5419,13.6,14.6,61,20.0
174,2022-01-03,323,497,-4.4,0.5,75,22.3
369,2022-01-04,888,1257,-8.0,-3.8,3,12.0
610,2022-01-05,1655,2265,-3.1,1.0,3,15.8
1055,2022-01-06,2692,3747,-2.3,1.6,3,13.5
651,2022-01-07,1584,2235,-7.3,-1.9,75,22.7
1024,2022-01-08,2294,3318,-9.4,-4.8,0,14.4
462,2022-01-09,1302,1764,-2.2,2.0,61,17.1
1014,2022-01-10,2848,3862,-5.5,0.1,2,22.4
784,2022-01-11,2553,3337,-9.2,-3.9,3,20.5
1175,2022-01-12,3276,4451,-6.4,-1.5,1,16.4
1424,2022-01-13,3578,5002,-0.6,2.6,3,12.2
1505,2022-01-14,3504,5009,-0.7,3.4,3,18.4
